,0,1,group,y_true
0,4.0315385,-25.79288,23,0
1,4.0751495,-25.039822,23,0
2,14.840207,-32.62167,-1,0
3,7.149796,-7.94101,-1,0
4,8.437772,-11.741847,23,0
5,0.021038659,-25.613703,23,0
6,9.109062,-12.710024,23,0
7,9.306802,-22.811558,23,0
8,10.97523,-33.556324,23,0
9,8.766133,-12.455861,23,0
10,9.393517,-10.971967,23,0
11,9.347397,-33.352108,-1,0
12,9.003723,-10.532901,23,0
13,8.607177,-22.202219,23,0
14,8.296557,-25.474213,23,0
15,12.159027,-25.875065,-1,0
16,12.327905,-16.822826,-1,0
17,3.4342473,-26.385126,23,0
18,11.364663,1.0077053,22,0
19,11.624165,0.76680887,22,0
20,-0.19795233,-26.969675,23,0
21,6.9382677,-7.7313957,-1,0
22,4.4357495,-22.781446,23,0
23,11.971798,-33.58331,23,0
24,2.159294,-30.676157,-1,0
25,5.9317594,-13.574581,23,0
26,10.215394,-28.461185,23,0
27,6.066258,-13.243749,23,0
28,13.01244,-28.885971,23,0
29,11.978389,-33.634422,-1,0
30,6.073457,-8.008277,-1,0
31,12.262937,0.7336322,22,0
32,7.9254327,-18.248156,23,0
33,4.2422147,-30.032854,23,0
34,11.999814,1.5607467,22,0
35,9.432413,1.0828956,-1,0
36,5.5850234,-17.186882,23,0
37,14.71443,-32.90138,19,0
38,11.416861,-29.220423,23,0
39,9.295542,-21.568,23,0
40,5.0112543,-8.480159,-1,0
41,6.3974447,-7.6652765,-1,0
42,2.2963512,-30.478569,-1,0
43,9.877234,-22.023712,23,0
44,8.450372,-22.171015,23,0
45,6.0683413,-9.541181,23,0
46,8.268236,-18.345354,23,0
47,13.457714,-33.377415,-1,0
48,4.365507,-20.609581,23,0
49,3.1639001,-26.62037,23,0
50,9.969442,-18.715857,23,0
51,9.679542,2.1326501,-1,0
52,-0.26631433,-26.648527,23,0
53,5.9205775,-21.15469,23,0
54,4.8102627,-8.545967,-1,0
55,9.219827,0.14149295,-1,0
56,10.428428,-19.928522,23,0
57,6.604329,-12.579209,23,0
58,9.466997,-33.525253,-1,0
59,2.8550878,-22.69487,23,0
60,3.926508,-16.64804,23,0
61,5.3959794,-9.881153,23,0
62,11.80973,3.976601,20,0
63,0.56164783,-26.470385,23,0
64,6.7421045,-14.490362,23,0
65,6.385189,-13.010585,23,0
66,6.485393,-28.702127,23,0
67,4.1345415,-30.351902,23,0
68,10.427568,-19.909805,23,0
69,10.6952715,-27.357225,23,0
70,9.933485,-33.65523,-1,0
71,2.7950225,-30.460089,23,0
